genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
MSRB3,0,0,5958,0,24619,0,10296,11626,11399,12769,13336,14338,13058,10036,13220,12814,0,0,0,0,7874,0,7348,5628,7176,0,0,0,18826,11695,0,0,N,N,N
LINC00639,0,0,0,0,0,0,13638,11629,13760,0,0,0,0,0,0,3783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
OR4F6,0,0,7889,0,3747,0,7978,11618,7197,9768,6807,8696,1903,5192,12875,6763,0,0,6937,0,8838,0,0,0,0,0,0,0,18073,6554,0,8200,N,N,N
MTHFSD,0,0,0,0,4753,0,12539,4248,3823,12931,2692,12575,10867,6537,8911,5538,0,0,0,0,12506,0,0,0,631,0,0,0,4403,4935,0,0,N,N,N
ELP5,0,0,7167,0,0,0,7691,10018,10479,11738,12378,7994,9334,10566,7976,9774,0,0,0,0,1914,0,0,0,0,0,0,0,6062,6282,0,3220,N,N,N
SECTM1,0,0,6166,0,48804,0,10381,11606,11618,13123,13485,8376,14273,13879,12747,13548,0,0,0,0,5443,0,0,0,0,0,0,0,15945,12095,0,6739,N,N,N
ZNF519,557,0,5707,0,6745,0,11301,11594,11121,15443,16684,13699,15038,15616,13039,11039,0,0,0,0,0,0,4336,3216,5057,0,0,0,15485,9225,0,5217,N,N,N
PSMD8,0,0,8542,0,86864,0,6022,11609,13757,6780,11708,401,2068,11383,5892,4455,0,0,0,0,0,582,6101,4654,0,197,962,122,2858,14278,0,0,N,N,N
ZNF526,0,0,5708,0,28403,0,13138,8153,8624,13088,8703,12737,11027,6496,9028,6577,0,0,564,0,373,0,0,0,0,0,0,0,9520,6944,0,12179,N,N,N
MIR517C,0,0,0,0,0,0,13637,11628,13759,0,0,0,0,0,0,3476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
HTRA2,0,0,6266,0,86798,0,7840,11635,5798,8201,1479,8233,8101,5327,12447,12406,0,0,0,0,14430,0,7616,5816,0,1482,511,0,2650,0,0,0,N,N,Y
IL17REL,0,0,0,0,29943,0,13640,11634,13761,16407,16938,14643,15525,15870,13499,6514,0,0,0,0,9386,0,0,0,0,0,0,0,18098,11305,0,7609,N,N,N
ATP1B3,0,0,7789,0,35266,0,9972,11655,9501,13473,9764,1863,14129,12910,5806,11298,0,0,0,0,197,1694,0,0,0,0,0,138,17165,12701,0,11333,N,N,N
B3GNT5,0,0,7177,0,28034,0,10937,11654,3485,14265,581,539,14417,7288,4570,11322,0,0,0,0,10404,1863,0,0,0,1694,612,0,16496,12640,0,7184,N,N,N
PRSS42,0,0,0,0,51811,0,13634,11610,12427,16213,14996,14737,15328,14566,13591,13273,0,0,5633,0,7867,0,0,0,0,0,0,0,14857,13754,0,8520,N,N,N
