genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
PARS2,0,0,0,0,777,0,6172,6739,8234,6146,9878,10992,6712,5795,6610,6618,0,0,3200,0,6671,0,0,0,0,0,0,0,5229,4236,0,4283,N,N,N
TECTB,0,0,5371,0,7655,0,8775,9321,9543,13013,7821,10218,12805,9645,11692,4269,0,0,4331,0,1377,0,0,0,0,794,273,0,12388,8233,0,9538,N,N,N
UPF2,0,0,253,0,2938,611,157,735,11800,1351,10917,2634,1133,2397,1760,4089,0,1507,5124,0,8653,301,581,423,2355,0,0,0,726,2001,0,6321,N,N,N
PSTK,0,0,0,0,5682,0,8738,9332,8471,13284,12294,14503,14038,13264,12921,12059,0,0,0,0,9339,0,0,0,0,0,0,0,17328,8896,0,8676,N,N,Y
GPR26,0,0,0,0,5685,0,2979,3756,5229,4394,15374,12672,10835,11484,9405,699,0,2527,5471,0,5696,0,0,0,0,0,0,0,6597,4383,0,6391,N,N,N
NRP1,0,0,1434,0,5191,0,2622,1295,11845,3692,13758,2930,1590,6436,939,7817,0,2025,2369,0,1340,1432,1408,1068,2356,0,0,513,7137,2764,0,5120,N,N,Y
BICC1,0,0,0,0,16943,0,8968,995,2731,3847,6163,7288,2391,1366,2167,1561,0,2348,110,0,578,0,0,0,2357,0,0,0,5421,747,0,9848,N,N,N
DDI1,0,0,2680,0,2259,0,2223,6415,6937,4548,8427,9862,7167,2883,6292,6848,0,0,6831,0,12004,0,2087,1662,0,0,0,0,7546,2511,0,1474,N,N,N
SIK2,0,0,4173,0,36640,0,8379,9328,7234,9670,16536,8889,12327,14861,11073,12326,0,0,0,0,1417,0,5950,4856,0,416,535,0,2216,12440,0,0,N,N,Y
ARCN1,0,0,7427,0,3276,0,3285,8261,6666,3132,7882,1672,7770,5842,2912,5927,0,0,3199,0,8114,1450,3626,2380,2358,0,0,386,9526,6380,0,6884,N,N,N
CRTAM,429,0,4174,0,36642,0,7909,6694,9946,7414,12609,8529,4456,6600,5083,7111,0,0,0,0,3006,0,0,0,0,0,0,0,438,5475,0,0,N,N,N
VPS26B,0,0,4175,0,36643,0,5559,9313,8340,5238,8787,10673,12532,10961,11124,23747,0,0,0,0,1379,0,0,0,0,0,0,0,8391,13483,0,0,N,N,N
PSMC3,0,0,8238,0,33370,0,2012,9333,12674,678,7764,298,3747,6967,1925,12052,0,0,0,0,8081,402,4725,5080,2359,0,0,425,18947,11197,0,6701,N,N,Y
CCDC87,0,0,0,0,11706,0,8754,4704,8311,8495,6495,11531,5530,8017,6914,5386,0,0,3227,0,8058,0,2055,0,2360,0,0,0,4006,5165,0,3362,N,N,N
LRP5,0,0,303,0,861,518,559,1158,1163,1141,1833,3193,1683,659,1224,8191,0,3331,1067,0,4449,378,466,431,0,0,0,977,8838,4478,0,5917,N,N,Y
ERC1,0,0,1261,0,15231,0,2302,604,1408,4215,13784,6387,5643,6461,4145,7727,0,1141,5644,0,12535,487,1616,1221,835,0,0,0,9945,2397,0,5925,N,N,Y
DDX11,0,0,743,0,2511,0,951,1763,11896,2304,5785,4279,1289,1383,2383,5634,0,51,0,0,0,499,667,606,2361,0,0,0,1277,995,0,1582,N,N,Y
